Whistler V2.0 (01-19-14)
,21462,15.43,19.06
,21465,15.92,19.06
,21467,15.43,19.06
,21470,15.43,19.06
,21472,15.92,19.06
,21475,15.92,19.06
,21478,15.92,19.06
,21480,15.43,19.06
,21483,15.43,19.06
,21485,15.92,19.06
,21488,15.43,19.06
,21490,15.92,19.06
,21493,15.92,19.06
,21496,15.92,19.06
,21499,15.43,19.06
,21504,15.92,19.06
,21507,15.92,19.06
,21510,15.92,19.06
,21514,15.92,19.06
,21517,15.92,19.06
,21520,15.92,19.06
,21524,15.92,19.06
,21527,15.92,19.06
,21530,15.92,19.06
,21534,15.92,19.06
,21537,15.92,19.06
,21540,15.43,19.06
,21544,15.92,19.06
,21548,15.43,19.06
,21551,15.92,19.06
,21555,15.92,19.06
,21558,15.92,19.06
,21561,15.43,19.06
,21565,15.92,19.06
,21568,15.92,19.06
,21571,15.92,19.06
,21575,15.92,17.66
,21578,15.92,17.66
,21581,15.92,17.66
,21585,15.92,17.66
,21588,15.92,17.66
,21592,15.92,17.66
,21595,15.92,17.66
,21599,15.92,17.66
,21602,15.92,17.66
,21605,15.92,17.66
,21609,15.92,17.66
,21612,15.92,17.66
,21615,15.92,17.66
,21619,15.92,17.66
,21622,15.92,17.66
,21625,15.92,17.66
,21629,15.92,17.66
,21633,15.43,17.66
,21636,15.92,17.66
,21640,15.92,17.66
,21643,15.92,17.66
,21646,15.92,17.66
,21650,15.92,17.66
,21653,15.43,17.66
,21656,15.43,17.66
,21660,15.92,17.66
,21663,15.92,17.66
,21666,15.92,17.66
,21670,15.92,17.66
,21673,15.92,17.66
,21677,15.92,17.66
,21680,15.43,17.66
,21684,15.92,17.66
,21687,15.92,17.66
,21690,15.92,17.66
,21694,15.92,17.66
,21697,15.92,17.66
,21700,15.92,17.66
,21704,15.43,17.66
,21707,15.92,17.66
,21710,15.92,17.66
,21714,15.92,17.66
,21718,15.92,17.66
,21721,15.43,17.16
,21725,15.92,17.16
,21728,15.92,17.16
,21731,15.92,17.16
,21735,15.92,17.16
,21738,15.92,17.16
,21741,15.92,17.16
